date,rank,access_count,series,file_name,main_link,file_type,file_download_link
2023-04-02,1,143,鉄道輸送統計調査,鉄・軌道旅客輸送 旅客営業キロ及び旅客数量（１）総合計,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032233969,EXCEL 閲覧用,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032233969&fileKind=4
2023-04-02,2,126,人口動態調査,人口動態統計速報　令和５年１月分,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040030934,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040030934&fileKind=2
2023-04-02,3,75,人口動態調査,人口動態総覧（件数），都道府県（特別区－指定都市再掲）別,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032213736,CSV,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032213736&fileKind=1
2023-04-02,4,58,国勢調査 - 都道府県・市区町村別の主な結果,令和2年 都道府県・市区町村別の主な結果,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032143614,EXCEL,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032143614&fileKind=0
2023-04-02,5,50,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032244202,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032244202&fileKind=2
2023-04-02,6,48,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032189559,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032189559&fileKind=2
2023-04-02,7,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032135874,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032135874&fileKind=2
2023-04-02,8,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032135918,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032135918&fileKind=2
2023-04-02,9,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136204,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136204&fileKind=2
2023-04-02,10,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136635,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136635&fileKind=2
2023-04-02,11,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136636,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136636&fileKind=2
2023-04-02,12,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136637,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136637&fileKind=2
2023-04-02,13,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136638,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136638&fileKind=2
2023-04-02,14,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136639,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136639&fileKind=2
2023-04-02,15,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136640,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136640&fileKind=2
2023-04-02,16,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136641,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136641&fileKind=2
2023-04-02,17,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136642,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136642&fileKind=2
2023-04-02,18,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136643,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136643&fileKind=2
2023-04-02,19,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136644,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136644&fileKind=2
2023-04-02,20,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136645,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136645&fileKind=2
2023-04-02,21,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136646,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136646&fileKind=2
2023-04-02,22,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136647,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136647&fileKind=2
2023-04-02,23,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136648,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136648&fileKind=2
2023-04-02,24,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136707,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136707&fileKind=2
2023-04-02,25,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136709,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136709&fileKind=2
2023-04-02,26,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136710,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136710&fileKind=2
2023-04-02,27,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032136734,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032136734&fileKind=2
2023-04-02,28,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032137039,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032137039&fileKind=2
2023-04-02,29,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032137040,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032137040&fileKind=2
2023-04-02,30,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032137041,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032137041&fileKind=2
2023-04-02,31,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032137042,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032137042&fileKind=2
2023-04-02,32,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032137043,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032137043&fileKind=2
2023-04-02,33,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032137044,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032137044&fileKind=2
2023-04-02,34,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032137045,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032137045&fileKind=2
2023-04-02,35,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032137046,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032137046&fileKind=2
2023-04-02,36,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032137047,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032137047&fileKind=2
2023-04-02,37,47,トラック輸送情報,トラック輸送情報,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032137048,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032137048&fileKind=2
